j,t,l, Inv, Inv_LB, shortage
A011, 1, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 1, Phase_II_Farp_2A, 0, 0, 0
A011, 1, Phase_I_313_Staging_Location, 0, 0, 0
A011, 1, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 1, Phase_II_D2_PAA4, 0, 0, 0
A011, 1, Phase_II_PAA2, 0, 0, 0
A011, 1, Sultan_Iskandar_Muda_Airport, 0, 0, 0
A011, 1, Medan_Air_Base, 0, 0, 0
A011, 1, Phase_I_328_Staging_Location, 0, 0, 0
A011, 1, Phase_II_D3_PAA5, 0, 0, 0
A011, 1, Phase_II_D1_PAA_3, 0, 0, 0
A011, 1, Phase_I_128_Staging_Location, 0, 0, 0
A011, 1, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 1, Port_of_Belawan, 0, 0, 0
A011, 1, Banda_Aceh_Port, 48.4211, 0, 0
A011, 2, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 2, Phase_II_Farp_2A, 0, 0, 0
A011, 2, Phase_I_313_Staging_Location, 0, 0, 0
A011, 2, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 2, Phase_II_D2_PAA4, 0, 0, 0
A011, 2, Phase_II_PAA2, 0, 0, 0
A011, 2, Sultan_Iskandar_Muda_Airport, 3, 3, 0
A011, 2, Medan_Air_Base, 0, 0, 0
A011, 2, Phase_I_328_Staging_Location, 0, 0, 0
A011, 2, Phase_II_D3_PAA5, 0, 0, 0
A011, 2, Phase_II_D1_PAA_3, 0, 0, 0
A011, 2, Phase_I_128_Staging_Location, 0, 0, 0
A011, 2, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 2, Port_of_Belawan, 0, 0, 0
A011, 2, Banda_Aceh_Port, 31, 0, 0
A011, 3, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 3, Phase_II_Farp_2A, 0, 0, 0
A011, 3, Phase_I_313_Staging_Location, 0, 0, 0
A011, 3, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 3, Phase_II_D2_PAA4, 0, 0, 0
A011, 3, Phase_II_PAA2, 0, 0, 0
A011, 3, Sultan_Iskandar_Muda_Airport, 19.8421, 3, 0
A011, 3, Medan_Air_Base, 0, 0, 0
A011, 3, Phase_I_328_Staging_Location, 0, 0, 0
A011, 3, Phase_II_D3_PAA5, 0, 0, 0
A011, 3, Phase_II_D1_PAA_3, 0, 0, 0
A011, 3, Phase_I_128_Staging_Location, 0, 0, 0
A011, 3, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 3, Port_of_Belawan, 0, 0, 0
A011, 3, Banda_Aceh_Port, 31, 0, 0
A011, 4, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 4, Phase_II_Farp_2A, 0, 0, 0
A011, 4, Phase_I_313_Staging_Location, 0, 0, 0
A011, 4, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 4, Phase_II_D2_PAA4, 0, 0, 0
A011, 4, Phase_II_PAA2, 0, 0, 0
A011, 4, Sultan_Iskandar_Muda_Airport, 19.2632, 3, 0
A011, 4, Medan_Air_Base, 0, 0, 0
A011, 4, Phase_I_328_Staging_Location, 0, 0, 0
A011, 4, Phase_II_D3_PAA5, 0, 0, 0
A011, 4, Phase_II_D1_PAA_3, 0, 0, 0
A011, 4, Phase_I_128_Staging_Location, 0, 0, 0
A011, 4, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 4, Port_of_Belawan, 0, 0, 0
A011, 4, Banda_Aceh_Port, 31, 0, 0
A011, 5, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 5, Phase_II_Farp_2A, 0, 0, 0
A011, 5, Phase_I_313_Staging_Location, 0, 0, 0
A011, 5, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 5, Phase_II_D2_PAA4, 0, 0, 0
A011, 5, Phase_II_PAA2, 0, 0, 0
A011, 5, Sultan_Iskandar_Muda_Airport, 18.6842, 3, 0
A011, 5, Medan_Air_Base, 0, 0, 0
A011, 5, Phase_I_328_Staging_Location, 0, 0, 0
A011, 5, Phase_II_D3_PAA5, 0, 0, 0
A011, 5, Phase_II_D1_PAA_3, 0, 0, 0
A011, 5, Phase_I_128_Staging_Location, 0, 0, 0
