l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 1, RFL_CO_L_328, CH-53K_King_Stallion, 110, 210, 0
Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 1, RFL_CO_K_328, CH-53K_King_Stallion, 110, 210, 0
Sultan_Iskandar_Muda_Airport, Banda_Aceh_Port, 1, RFL_CO_I_328, CH-53K_King_Stallion, 110, 210, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, MN08, JLTV_M1279A1, 6, 0.56, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Cartridge-_Caliber_50_4_SLAP_M9031_SLAP-T_M962_Linked, AMK25, 2, 35, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CA30, AMK25, 6.73684, 66, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Grenade-_66mm_Smoke_Screening-_RP_Veh_Launched_MK1_MOD0, AMK25, 69.6316, 17, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, MRE, AMK25, 433.579, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M456, AMK25, 1.05263, 23, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, ML03, AMK25, 1.57895, 15, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Cartridge-_25mm_APDS-T_M791_Linked, AMK25, 3, 99, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L307, AMK25, 18.8947, 2.08, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, MN79, AMK25, 3.47368, 1, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G950, AMK25, 18, 34, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AB57, AMK25, 2.26316, 35.08, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, GG41, AMK25, 8.78947, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L495, AMK25, 115.105, 1.35, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA53, AMK25, 1.68421, 33.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA54, AMK25, 8, 23.65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CRTG-_762MM_4_BALL_M801TRCR_M62, AMK25, 9.57895, 17.75, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, A606, AMK25, 3.31579, 36.2, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M131, AMK25, 1.57895, 5.54, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, B647, AMK25, 1.15789, 45, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L306, AMK25, 60.1579, 1.38, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Rocket-_298mm_Alternative_Warhead_M30A2_IM_GMLRS, AMK25, 2.16187, 5072, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, C484, AMK25, 13.2632, 12.43, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G955, AMK25, 24.7895, 1.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, JP5, AMK25, 19811.7, 6.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, A363, AMK25, 2.73684, 36.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA04, AMK25, 4, 17.75, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G900, AMK25, 7.05263, 47, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G982, AMK25, 18.8947, 1.69, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA60, AMK25, 11.1053, 24.72, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, BA14, AMK25, 1.57895, 44, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Cartridge-_25mm_HEI-T_M792_Linked, AMK25, 5, 55, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, WH51, AMK25, 8, 66.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G881, AMK25, 61.6316, 51, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, B546, AMK25, 3.15789, 44, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, B567, AMK25, 1.42105, 4.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L283, AMK25, 8, 8.76, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G924, AMK25, 5.47368, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L311, AMK25, 24, 1.64, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, J007, AMK25, 3.52632, 41, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Charge-_Demolition_Block_TNT_1-Pound, AMK25, 1.57895, 71.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, C871, AMK25, 28.2632, 12.3, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA03, AMK25, 6.05263, 17.9, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L314, AMK25, 45.4211, 1, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, K867, AMK25, 1.57895, 40, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, BA44, AMK25, 91, 4.86, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G940, AMK25, 15.9474, 34, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Rocket-_298mm_Tactical_Unitary_M31A2_IM_GMLRS, AMK25, 2.41546, 5096, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, A011, AMK25, 9.36842, 23, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L312, AMK25, 150, 1.64, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M670, AMK25, 1.57895, 9.8, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L305, AMK25, 79, 1.46, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CRTG-_CAL_50_API_M8API-T_M20_LNKD_AC, AMK25, 5.42105, 35, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CRTG-_81MM_SMK_RP_M819_WFZ_MTSQ_M772, AMK25, 45.8947, 63, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M421, AMK25, 1.05263, 65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M420, AMK25, 1.57895, 60, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M757, AMK25, 6, 0.005, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CRTG-_556MM_TRCR_M856, AMK25, 4.73684, 30, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Water_Rigid, AMK25, 208, 33, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G945, AMK25, 24.7895, 1.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M039, AMK25, 1.57895, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, WH54, AMK25, 3.15789, 61.56, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G963, AMK25, 2.63158, 1.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, B542, AMK25, 4.36842, 42, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M421, CH-53K_King_Stallion, 4.94737, 65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, M456, CH-53K_King_Stallion, 4.94737, 23, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, Water_Rigid, CH-53K_King_Stallion, 140, 33, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, G940, CH-53K_King_Stallion, 35.3684, 34, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, CRTG-_762MM_4_BALL_M801TRCR_M62, CH-53K_King_Stallion, 5.78947, 17.75, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, AB57, CH-53K_King_Stallion, 0.263158, 35.08, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, MRE, CH-53K_King_Stallion, 291.579, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 2, JP5, CH-53K_King_Stallion, 2303.69, 6.6, 0
