l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, B647, AMK25, 1.15789, 45, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M757, AMK25, 1.05263, 0.005, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA60, AMK25, 3.73684, 24.72, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M670, AMK25, 1.05263, 9.8, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Rocket-_298mm_Tactical_Unitary_M31A2_IM_GMLRS, AMK25, 1.05263, 5096, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Grenade-_66mm_Smoke_Screening-_RP_Veh_Launched_MK1_MOD0, AMK25, 58.3158, 17, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L311, AMK25, 4.68421, 1.64, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, J007, AMK25, 3.26316, 41, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Cartridge-_25mm_APDS-T_M791_Linked, AMK25, 1.05263, 99, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L283, AMK25, 2.10526, 8.76, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CRTG-_556MM_TRCR_M856, AMK25, 3.15789, 30, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, C484, AMK25, 4.84211, 12.43, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G940, AMK25, 15.9474, 34, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, CA30, AMK25, 4.68421, 66, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L312, AMK25, 29.7895, 1.64, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, ML03, AMK25, 1.05263, 15, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, BA14, AMK25, 1.05263, 44, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L307, AMK25, 15.9474, 2.08, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G900, AMK25, 7.05263, 47, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AB57, AMK25, 2.26316, 35.08, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA54, AMK25, 1.15789, 23.65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, B542, AMK25, 3.68421, 42, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, MRE, AMK25, 138, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G963, AMK25, 2.31579, 1.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, JP5, AMK25, 17504, 6.6, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M420, AMK25, 1.05263, 60, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, C871, AMK25, 9.84211, 12.3, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA04, AMK25, 2.10526, 17.75, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M456, AMK25, 1.05263, 23, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA03, AMK25, 2.36842, 17.9, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G924, AMK25, 2.31579, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L306, AMK25, 15.9474, 1.38, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M039, AMK25, 1.05263, 50, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Charge-_Demolition_Block_TNT_1-Pound, AMK25, 1.05263, 71.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, WH54, AMK25, 2.10526, 61.56, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M421, AMK25, 1.05263, 65, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, G982, AMK25, 15.9474, 1.69, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, M131, AMK25, 1.05263, 5.54, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, Rocket-_298mm_Alternative_Warhead_M30A2_IM_GMLRS, AMK25, 1.05263, 5072, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, AA53, AMK25, 1.05263, 33.5, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, GG41, AMK25, 5.94737, 22, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, L305, AMK25, 15.9474, 1.46, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, BA44, AMK25, 17.5263, 4.86, 0
Banda_Aceh_Port, Sultan_Iskandar_Muda_Airport, 1, A011, AMK25, 3.57895, 23, 0
