j,t,l, Inv, Inv_LB, shortage
D0003, 0, Juneau_Airport, 0, 0, 0
D0003, 0, Mosquito_Lake_Sup, 7, 0, 0
D0003, 0, Tanani_Sup, 0, 0, 0
D0003, 0, Mud_Bay_Sup, 0, 0, 0
D0003, 0, Port_Chilkoot, 0, 0, 0
D0003, 0, Elmendorf_AFB, 0, 0, 0
D0003, 0, Anchorage_Port, 0, 0, 0
D0003, 0, Seward_MPF_Port, 0, 0, 0
D0003, 0, Fairbanks_Airport, 0, 0, 0
D0003, 0, Nome_Airport, 0, 0, 0
D0003, 0, Nome_Port, 0, 0, 0
D0003, 0, Teller_Dest, 0, 0, 0
D0003, 0, Camp_Pendleton_Airport, 1, 0, 0
D0003, 0, Point_Loma, 0, 0, 0
D0003, 1, Juneau_Airport, 0, 0, 0
D0003, 1, Mosquito_Lake_Sup, 7, 0, 0
D0003, 1, Tanani_Sup, 0, 0, 0
D0003, 1, Mud_Bay_Sup, 0, 0, 0
D0003, 1, Port_Chilkoot, 0, 0, 0
D0003, 1, Elmendorf_AFB, 0, 0, 0
D0003, 1, Anchorage_Port, 0, 0, 0
D0003, 1, Seward_MPF_Port, 0, 0, 0
D0003, 1, Fairbanks_Airport, 0, 0, 0
D0003, 1, Nome_Airport, 0, 0, 0
D0003, 1, Nome_Port, 0, 0, 0
D0003, 1, Teller_Dest, 0, 0, 0
D0003, 1, Camp_Pendleton_Airport, 1, 0, 0
D0003, 1, Point_Loma, 0, 0, 0
D0003, 2, Juneau_Airport, 0, 3, 3
D0003, 2, Mosquito_Lake_Sup, 7, 0, 0
D0003, 2, Tanani_Sup, 0, 0, 0
D0003, 2, Mud_Bay_Sup, 0, 0, 0
D0003, 2, Port_Chilkoot, 0, 0, 0
D0003, 2, Elmendorf_AFB, 0, 0, 0
D0003, 2, Anchorage_Port, 0, 0, 0
D0003, 2, Seward_MPF_Port, 0, 0, 0
D0003, 2, Fairbanks_Airport, 0, 2, 2
D0003, 2, Nome_Airport, 0, 0, 0
D0003, 2, Nome_Port, 0, 0, 0
D0003, 2, Teller_Dest, 0, 2, 2
D0003, 2, Camp_Pendleton_Airport, 1, 0, 0
D0003, 2, Point_Loma, 0, 0, 0
D0003, 3, Juneau_Airport, 0, 3, 3
D0003, 3, Mosquito_Lake_Sup, 7, 0, 0
D0003, 3, Tanani_Sup, 0, 0, 0
