l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Juneau_Airport, 0, D0017, C-17, 2, 2180, 10000
Camp_Pendleton_Airport, Juneau_Airport, 0, A0067, C-17, 1, 9780, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, D0015, C-17, 1, 54000, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, B0063, C-17, 1, 46420, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H2044, C-17, 3, 1, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, A0067, C-17, 1, 9780, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, D0034, C-17, 4, 11500, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H7030, C-17, 2, 1, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, A7902, C-17, 1, 75, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, B0014, C-17, 7, 736, 0
Camp_Pendleton_Airport, Nome_Airport, 0, B0008, C-17, 1, 794, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 3573AS100-1, C-17, 1, 2100, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0033, C-17, 2, 10740, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, 1479AS500, C-17, 1, 300, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 10-10-0002, C-17, 1, 12500, 0
Camp_Pendleton_Airport, Nome_Airport, 0, A0067, C-17, 6, 9780, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0005, C-17, 1, 44480, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, D0022, C-17, 2, 7840, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, A0073, C-17, 6, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, B0014, C-17, 5, 736, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 040489-10, C-17, 1, 4000, 0
Anchorage_Port, Nome_Port, 0, SUU-96/A, OSV, 1, 250, 0
Anchorage_Port, Nome_Port, 0, C44332E, OSV, 1, 4830, 10000
Anchorage_Port, Nome_Port, 0, LH859, OSV, 1, 5500, 0
Anchorage_Port, Nome_Port, 0, HEATER-PORTABLE-DUCT, OSV, 1, 1280, 0
Anchorage_Port, Nome_Port, 0, LAU-151/A, OSV, 1, 140, 0
Anchorage_Port, Nome_Port, 0, ADU-933 Crate, OSV, 1, 80, 0
Anchorage_Port, Nome_Port, 0, COMPONENT HANDLING JACK, OSV, 1, 910, 0
Anchorage_Port, Nome_Port, 0, CHARGING RIG-O2, OSV, 1, 2130, 0
Anchorage_Port, Nome_Port, 0, DISABLED WHEEL DOLLY, OSV, 1, 310, 10000
Anchorage_Port, Nome_Port, 0, A04037G, OSV, 1, 10300, 0
Anchorage_Port, Nome_Port, 0, MEPP-6 270 POWER CART (Sea Lift), OSV, 1, 5500, 0
Anchorage_Port, Nome_Port, 0, BRU-67 Crate, OSV, 1, 190, 0
Anchorage_Port, Nome_Port, 0, C4433, OSV, 5, 3260, 10000
Anchorage_Port, Nome_Port, 0, ADU-932 Crate, OSV, 1, 80, 0
Anchorage_Port, Nome_Port, 0, HIGH LIFT ADAPTER CRATE, OSV, 1, 550, 0
Anchorage_Port, Nome_Port, 0, D0034, OSV, 1, 11500, 10000
Anchorage_Port, Nome_Port, 0, LAU-147 Crate, OSV, 1, 140, 0
Anchorage_Port, Nome_Port, 0, AIR CONDITIONER-DIESEL-LAND BASED, OSV, 1, 14160, 0
Anchorage_Port, Nome_Port, 0, PORTABLE FLOOR CRANE, OSV, 1, 330, 0
Anchorage_Port, Nome_Port, 0, COMPRESSOR UNIT-ROTARY, OSV, 1, 2500, 0
Anchorage_Port, Nome_Port, 0, CART-PAO SEVICING-DIESEL, OSV, 1, 12310, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, D0033, Truck-5, 1, 10740, 10000
Mosquito_Lake_Sup, Tanani_Sup, 0, C0078, Truck-5, 6, 200, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 3, 311, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2561, Truck-5, 2, 31900, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2566, Truck-5, 1, 13440, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, D0033, Truck-5, 1, 10740, 10000
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0730, Truck-5, 4, 304, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0027, Truck-5, 4, 311, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B2566, Truck-5, 2, 13440, 0
Tanani_Sup, Juneau_Airport, 0, V0028, Truck-5, 16, 200, 0
Tanani_Sup, Juneau_Airport, 0, NIIN 1491094, Truck-5, 16, 22, 0
Tanani_Sup, Juneau_Airport, 0, C8740, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, C8640, Truck-5, 1, 200, 0
Tanani_Sup, Juneau_Airport, 0, A0097, Truck-5, 2, 2, 0
Tanani_Sup, Juneau_Airport, 0, NIIN 14671753, Truck-5, 2069, 15, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V0026, Truck-5, 129, 200, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V4012, Truck-5, 31, 200, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V4011, Truck-5, 15, 200, 0
Tanani_Sup, Elmendorf_AFB, 0, V0028, Truck-5, 218, 200, 0
Tanani_Sup, Elmendorf_AFB, 0, V0026, Truck-5, 318, 200, 0
Tanani_Sup, Elmendorf_AFB, 0, V0024, Truck-5, 339, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, E0088, Truck-5, 36, 3, 10000
Tanani_Sup, Fairbanks_Airport, 0, V0028, Truck-5, 87, 200, 0
Tanani_Sup, Fairbanks_Airport, 0, H7255, Truck-5, 2, 10, 0
Tanani_Sup, Fairbanks_Airport, 0, E0989, Truck-5, 33, 24, 10000
Tanani_Sup, Fairbanks_Airport, 0, E0123, Truck-5, 8, 1, 10000
Tanani_Sup, Fairbanks_Airport, 0, E1123, Truck-5, 8, 163, 10000
Tanani_Sup, Fairbanks_Airport, 0, E1095, Truck-5, 2, 1, 10000
Tanani_Sup, Fairbanks_Airport, 0, E0994, Truck-5, 8, 68, 10000
Tanani_Sup, Fairbanks_Airport, 0, E0180, Truck-5, 2, 10, 10000
Tanani_Sup, Fairbanks_Airport, 0, H2047, Truck-5, 12, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, H7900, Truck-5, 1, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, H2044, Truck-5, 2, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A0135, Truck-5, 2, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A7902, Truck-5, 5, 75, 0
Tanani_Sup, Fairbanks_Airport, 0, A0073, Truck-5, 17, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, A0126, Truck-5, 3, 1, 0
Tanani_Sup, Fairbanks_Airport, 0, E1126, Truck-5, 16, 44, 10000
Tanani_Sup, Fairbanks_Airport, 0, A7706, Truck-5, 3, 18, 0
Tanani_Sup, Fairbanks_Airport, 0, A0097, Truck-5, 9, 2, 0
Tanani_Sup, Fairbanks_Airport, 0, V4652, Truck-5, 14, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4550, Truck-5, 2, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4250, Truck-5, 20, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4128, Truck-5, 20, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4959, Truck-5, 27, 505, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, K4895, Truck-5, 5, 1, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4340, Truck-5, 20, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4355, Truck-5, 103, 200, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, C3409, Truck-5, 102, 650, 0
Mud_Bay_Sup, Elmendorf_AFB, 0, V4652, Truck-5, 6, 1, 0
Mud_Bay_Sup, Anchorage_Port, 0, V0023, Truck-5, 23, 200, 0
Mud_Bay_Sup, Anchorage_Port, 0, V4550, Truck-5, 5, 200, 0
Mud_Bay_Sup, Anchorage_Port, 0, V4340, Truck-5, 124, 200, 0
Mud_Bay_Sup, Anchorage_Port, 0, V4355, Truck-5, 23, 200, 0
Mud_Bay_Sup, Seward_MPF_Port, 0, V0023, Truck-5, 5, 200, 0
Mud_Bay_Sup, Seward_MPF_Port, 0, V4610, Truck-5, 26, 200, 0
Mud_Bay_Sup, Seward_MPF_Port, 0, V0012, Truck-5, 144, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, B13202E, Truck-5, 5, 200, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, K4250, Truck-5, 40, 1, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, C7915, Truck-5, 5, 120, 0
Mud_Bay_Sup, Fairbanks_Airport, 0, H7030, Truck-5, 5, 1, 0
