l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Mosquito_Lake_Sup, Juneau_Airport, 0, D0880, Truck-5, 1, 200, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0027, Truck-5, 0.255546, 311, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, M5030, Truck-5, 3, 510, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0008, Truck-5, 1, 794, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, C0078, Truck-5, 6, 200, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0049, Truck-5, 0.194468, 7410, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B0027, Truck-5, 6.28182, 311, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, B2561, Truck-5, 0.00168504, 31900, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B0027, Truck-5, 1.40601, 311, 0
Mosquito_Lake_Sup, Mud_Bay_Sup, 0, B2561, Truck-5, 0.504908, 31900, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0014, Truck-5, 2, 736, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, B0027, Truck-5, 0.0387423, 311, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 0, V4652, Truck-5, 6, 1, 0
Mosquito_Lake_Sup, Seward_MPF_Port, 0, B22502E, Truck-5, 0.0158565, 363, 0
Mosquito_Lake_Sup, Seward_MPF_Port, 0, B0027, Truck-5, 0.00158626, 311, 0
Mosquito_Lake_Sup, Seward_MPF_Port, 0, V4652, Truck-5, 8, 1, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22502E, Truck-5, 0.984143, 363, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0027, Truck-5, 0.197009, 311, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22102E, Truck-5, 1, 243, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, M5030, Truck-5, 1, 510, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0008, Truck-5, 2, 794, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0730, Truck-5, 4, 304, 0
Tanani_Sup, Juneau_Airport, 0, A0097, Truck-5, 2, 2, 0
Tanani_Sup, Juneau_Airport, 0, E0994, Truck-5, 1.13407, 68, 10000
Tanani_Sup, Juneau_Airport, 0, E1095, Truck-5, 2, 1, 10000
Tanani_Sup, Juneau_Airport, 0, A7706, Truck-5, 2, 18, 0
Tanani_Sup, Juneau_Airport, 0, NIIN 14671753, Truck-5, 2068.18, 15, 0
Tanani_Sup, Juneau_Airport, 0, E0088, Truck-5, 14.001, 3, 10000
Tanani_Sup, Juneau_Airport, 0, NIIN 1491094, Truck-5, 8.22581, 22, 0
Tanani_Sup, Juneau_Airport, 0, E0989, Truck-5, 21.7508, 24, 10000
Tanani_Sup, Juneau_Airport, 0, E1126, Truck-5, 16, 44, 10000
Tanani_Sup, Mosquito_Lake_Sup, 0, E0088, Truck-5, 4.74975, 3, 10000
Tanani_Sup, Mud_Bay_Sup, 0, E0088, Truck-5, 4.74975, 3, 10000
Tanani_Sup, Port_Chilkoot, 0, E0994, Truck-5, 6.86593, 68, 10000
Tanani_Sup, Port_Chilkoot, 0, E0123, Truck-5, 8, 1, 10000
