h,l,lprime, t, Zvalue
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 0, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 1, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 2, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 3, 0.288154
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 4, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 5, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 6, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 7, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 8, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 9, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 10, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 11, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 12, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 13, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 14, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 15, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 16, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 17, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 18, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 19, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 20, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 21, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 22, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 23, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 24, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 25, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 26, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 27, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 28, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 29, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 30, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 31, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 32, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 33, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 34, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 35, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 36, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 37, 0
Truck-5, Juneau_Airport, Mosquito_Lake_Sup, 38, 0
