l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Juneau_Airport, 0, D0017, C-17, 2, 2180, 10000
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H2044, C-17, 3, 1, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H7030, C-17, 2, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 1479AS500, C-17, 1, 300, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 3573AS100-1, C-17, 1, 2100, 0
Camp_Pendleton_Airport, Nome_Airport, 0, D0022, C-17, 2, 7840, 10000
Camp_Pendleton_Airport, Nome_Airport, 0, 040489-10, C-17, 1, 4000, 0
Camp_Pendleton_Airport, Nome_Airport, 0, A0067, C-17, 4, 9780, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 10-10-0002, C-17, 1, 12500, 0
Anchorage_Port, Seward_MPF_Port, 0, D1063, OSV, 0.186926, 34400, 10000
Anchorage_Port, Seward_MPF_Port, 0, E1500, OSV, 0.999833, 37020, 10000
Anchorage_Port, Nome_Port, 0, D12147K, OSV, 0.0498622, 67600, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, D0862, Truck-5, 0.242614, 10500, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B0027, Truck-5, 2.96914, 311, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0008, Truck-5, 4, 794, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0033, Truck-5, 4, 10740, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, B2085, Truck-5, 4, 2600, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B2566, Truck-5, 1.05613, 13440, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0043, Truck-5, 1, 1550, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0880, Truck-5, 1, 200, 10000
Mosquito_Lake_Sup, Juneau_Airport, 0, C0035, Truck-5, 1, 887, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, M5030, Truck-5, 4, 510, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0014, Truck-5, 14, 736, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, C0078, Truck-5, 6, 200, 0
Mosquito_Lake_Sup, Tanani_Sup, 0, D0003, LowBoyTractor, 0.15156, 44480, 10000
Mosquito_Lake_Sup, Fairbanks_Airport, 0, V4652, Truck-5, 14, 1, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B0730, Truck-5, 4, 304, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22502E, Truck-5, 1, 363, 0
Mosquito_Lake_Sup, Fairbanks_Airport, 0, B22102E, Truck-5, 1, 243, 0
Tanani_Sup, Juneau_Airport, 0, A0073, Truck-5, 2, 1, 0
Tanani_Sup, Juneau_Airport, 0, NIIN_14671753, Truck-5, 224.579, 15, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, C8604, LowBoyTractor, 1, 200, 0
Tanani_Sup, Mosquito_Lake_Sup, 0, V0028, LowBoyTractor, 285.459, 200, 0
