j,t,l, Inv, Inv_LB, shortage
E1123, 0, Juneau_Airport, 0, 0, 0
E1123, 0, Mosquito_Lake_Sup, 0, 0, 0
E1123, 0, Tanani_Sup, 1.001, 0, 0
E1123, 0, Mud_Bay_Sup, 0, 0, 0
E1123, 0, Port_Chilkoot, 0, 0, 0
E1123, 0, Elmendorf_AFB, 0, 0, 0
E1123, 0, Anchorage_Port, 0, 0, 0
E1123, 0, Seward_MPF_Port, 0, 0, 0
E1123, 0, Fairbanks_Airport, 0, 0, 0
E1123, 0, Nome_Airport, 0, 0, 0
E1123, 0, Nome_Port, 0, 0, 0
E1123, 0, Teller_Dest, 0, 0, 0
E1123, 0, Camp_Pendleton_Airport, 0, 0, 0
E1123, 0, Point_Loma, 0, 0, 0
E1123, 1, Juneau_Airport, 0, 0, 0
E1123, 1, Mosquito_Lake_Sup, 0, 0, 0
E1123, 1, Tanani_Sup, 0, 0, 0
E1123, 1, Mud_Bay_Sup, 0, 0, 0
E1123, 1, Port_Chilkoot, 0, 0, 0
E1123, 1, Elmendorf_AFB, 0, 0, 0
E1123, 1, Anchorage_Port, 0, 0, 0
E1123, 1, Seward_MPF_Port, 0, 0, 0
E1123, 1, Fairbanks_Airport, 0, 0, 0
E1123, 1, Nome_Airport, 0, 0, 0
E1123, 1, Nome_Port, 0, 0, 0
E1123, 1, Teller_Dest, 0, 0, 0
E1123, 1, Camp_Pendleton_Airport, 0, 0, 0
E1123, 1, Point_Loma, 0, 0, 0
E1123, 2, Juneau_Airport, 0, 0, 0
E1123, 2, Mosquito_Lake_Sup, 0, 0, 0
E1123, 2, Tanani_Sup, 0, 0, 0
E1123, 2, Mud_Bay_Sup, 0, 0, 0
E1123, 2, Port_Chilkoot, 0, 0, 0
E1123, 2, Elmendorf_AFB, 0, 0, 0
E1123, 2, Anchorage_Port, 0, 0, 0
E1123, 2, Seward_MPF_Port, 0, 0, 0
E1123, 2, Fairbanks_Airport, 6.999, 8, 1.001
E1123, 2, Nome_Airport, 0, 0, 0
E1123, 2, Nome_Port, 0, 0, 0
E1123, 2, Teller_Dest, 0, 0, 0
E1123, 2, Camp_Pendleton_Airport, 0, 0, 0
E1123, 2, Point_Loma, 0, 0, 0
E1123, 3, Juneau_Airport, 0, 0, 0
E1123, 3, Mosquito_Lake_Sup, 0, 0, 0
E1123, 3, Tanani_Sup, 0, 0, 0
E1123, 3, Mud_Bay_Sup, 0, 0, 0
E1123, 3, Port_Chilkoot, 0, 0, 0
E1123, 3, Elmendorf_AFB, 0, 0, 0
E1123, 3, Anchorage_Port, 0, 0, 0
E1123, 3, Seward_MPF_Port, 0, 0, 0
E1123, 3, Fairbanks_Airport, 8, 8, 0
E1123, 3, Nome_Airport, 0, 0, 0
E1123, 3, Nome_Port, 0, 0, 0
E1123, 3, Teller_Dest, 0, 0, 0
E1123, 3, Camp_Pendleton_Airport, 0, 0, 0
E1123, 3, Point_Loma, 0, 0, 0
E1123, 4, Juneau_Airport, 0, 0, 0
E1123, 4, Mosquito_Lake_Sup, 0, 0, 0
E1123, 4, Tanani_Sup, 0, 0, 0
E1123, 4, Mud_Bay_Sup, 0, 0, 0
E1123, 4, Port_Chilkoot, 0, 0, 0
E1123, 4, Elmendorf_AFB, 0, 0, 0
E1123, 4, Anchorage_Port, 0, 0, 0
E1123, 4, Seward_MPF_Port, 0, 0, 0
E1123, 4, Fairbanks_Airport, 8, 8, 0
E1123, 4, Nome_Airport, 0, 0, 0
E1123, 4, Nome_Port, 0, 0, 0
E1123, 4, Teller_Dest, 0, 0, 0
E1123, 4, Camp_Pendleton_Airport, 0, 0, 0
E1123, 4, Point_Loma, 0, 0, 0
E1123, 5, Juneau_Airport, 0, 0, 0
E1123, 5, Mosquito_Lake_Sup, 0, 0, 0
E1123, 5, Tanani_Sup, 0, 0, 0
E1123, 5, Mud_Bay_Sup, 0, 0, 0
E1123, 5, Port_Chilkoot, 0, 0, 0
E1123, 5, Elmendorf_AFB, 0, 0, 0
E1123, 5, Anchorage_Port, 0, 0, 0
E1123, 5, Seward_MPF_Port, 0, 0, 0
E1123, 5, Fairbanks_Airport, 8, 8, 0
E1123, 5, Nome_Airport, 0, 0, 0
E1123, 5, Nome_Port, 0, 0, 0
E1123, 5, Teller_Dest, 0, 0, 0
E1123, 5, Camp_Pendleton_Airport, 0, 0, 0
E1123, 5, Point_Loma, 0, 0, 0
E1123, 6, Juneau_Airport, 0, 0, 0
E1123, 6, Mosquito_Lake_Sup, 0, 0, 0
E1123, 6, Tanani_Sup, 0, 0, 0
E1123, 6, Mud_Bay_Sup, 0, 0, 0
E1123, 6, Port_Chilkoot, 0, 0, 0
E1123, 6, Elmendorf_AFB, 0, 0, 0
