l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H2044, C-17, 3, 1, 0
Camp_Pendleton_Airport, Elmendorf_AFB, 0, H7030, C-17, 2, 1, 0
Camp_Pendleton_Airport, Nome_Airport, 0, 040489-10, C-17, 1, 4000, 0
Anchorage_Port, Seward_MPF_Port, 0, C44332E, OSV, 1, 4830, 10000
Anchorage_Port, Seward_MPF_Port, 0, HEATER-PORTABLE-DUCT, OSV, 1, 1280, 0
Anchorage_Port, Seward_MPF_Port, 0, COMPONENT_HANDLING_JACK, OSV, 0.770655, 910, 0
Anchorage_Port, Seward_MPF_Port, 0, SUU-95A, OSV, 0.236036, 500, 0
Anchorage_Port, Seward_MPF_Port, 0, B09537B, OSV, 1, 2220, 0
Anchorage_Port, Seward_MPF_Port, 0, YN706, OSV, 0.0608714, 4910, 0
Anchorage_Port, Nome_Port, 0, PORTABLE_FLOOR_CRANE, OSV, 1, 330, 0
Anchorage_Port, Nome_Port, 0, CART-PAO_SEVICING-DIESEL, OSV, 1, 12310, 0
Anchorage_Port, Nome_Port, 0, A0047, OSV, 0.862279, 7550, 0
Anchorage_Port, Nome_Port, 0, AIR_CONDITIONER-DIESEL-LAND_BASED, OSV, 1, 14160, 0
Anchorage_Port, Nome_Port, 0, C44332E, OSV, 1, 4830, 10000
Anchorage_Port, Nome_Port, 0, COMPRESSOR_UNIT-ROTARY, OSV, 1, 2500, 0
Anchorage_Port, Nome_Port, 0, A04037G, OSV, 1, 10300, 0
Anchorage_Port, Nome_Port, 0, LH859, OSV, 1, 5500, 0
Anchorage_Port, Nome_Port, 0, CHARGING_RIG-O2, OSV, 1, 2130, 0
Anchorage_Port, Nome_Port, 0, D12147K, OSV, 1, 67600, 10000
Anchorage_Port, Nome_Port, 0, MEPP-6_270_POWER_CART_Sea_Lift, OSV, 1, 5500, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, B0043, LowBoyTractor, 1, 1550, 0
Mosquito_Lake_Sup, Juneau_Airport, 0, D0880, LowBoyTractor, 1, 200, 10000
